k_numbers,imdrf_codes,count
K062058,A090809,118
K062058,,296
K062058,A26,5
K062058,E2401,5
K062058,F24,5
K062058,A090810,34
K062058,A020503,15
K062058,A0401,1
K062058,A020102,1
K062058,A090405,1
K062058,A140302,1
K062058,A2303,5
K062058,A1205,1
K062058,A090201,2
K093663,A2103,2
K093663,A180104,1
K063177,,1
K071079,A180103,3
K884552,A0401,7
K012842,A140801,182
K012842,A1408,12
K012842,A020102,12
K012842,,15
K012842,A141101,12
K012842,A0401,3
K012842,A1906,1
K012842,A051201,1
K982215,A1203,3
K982215,A1407,2
K982215,A140801,6
K982215,A090201,1
K170784,A020102,1
K094021,,48
K094021,A051201,6
K094021,A020602,18
K094021,A040103,12
K094021,A040101,6
K094021,A191002,6
K162449,A10,20
K162449,A0708,5
K162449,A0501,5
K162449,A040101,5
K133821,A24,6
K133821,,3
K133821,A0401,2
K133821,A090201,2
K133821,A0404,1
K970727,A24,38
K970727,,6
K970727,A2301,1
K970727,A030205,1
K970727,A020602,1
K043223,A0406,1
K043223,A1702,12
K043223,A040507,1
K043223,A0401,1
K043223,A040609,1
K043223,A0506,1
K043223,A150207,1
K974899,A1009,2
K111740,A2305,1
K123767,A0401,4
K123767,,4
K123767,A24,4
K123767,A040101,4
K151312,A040101,1
K091321,,4
K091321,A24,2
K043048,,11
K051188,A27,12
K051188,F28,12
K051188,A26,48
K051188,E2401,48
K051188,F24,48
K051188,A020102,12
K051188,,36
K051188,A24,12
K051195,A26,28
K051195,E2401,28
K051195,F24,28
K051195,A020102,24
K051195,A0104,38
K051195,A24,26
K051195,A0205,14
K130498,,3
K083270,A23,1
K083270,,2
K083270,A24,1
K083270,A150203,1
K941153,A180104,1
K103658,A1205,1
K103658,A1503,2
K103658,,30
K103658,A150204,5
K103658,A0511,2
K103658,A0401,1
K103658,A05,1
K103658,A150303,1
K955869,A180104,41
K955869,A0902,70
K955869,A1406,11
K955869,A1802,3
K955869,A0502,5
K955869,A090206,3
K955869,A090811,16
K955869,,32
K955869,A090805,6
K955869,A020503,3
K955869,A0401,3
K955869,A0204,5
K955869,A1401,3
K955869,A0205,2
K955869,A0412,1
K955869,A1801,1
K955869,A04,1
K955869,A020701,1
K955869,A0509,1
K955869,A0501,2
K955869,A020501,1
K955869,A160502,2
K955869,A141101,2
K955869,A051104,1
K955869,A0406,1
K955869,A040101,1
K955869,A2101,1
K023376,A2305,3
K060300,A24,4
K060300,A050301,1
K060300,,10
K060300,A27,8
K060300,F28,8
K060300,A0104,4
K060300,A05,1
K060300,A1408,1
K060300,A0504,2
K060300,A1411,1
K091956,A051207,60
K091956,A1001,2
K091956,A27,56
K091956,F28,56
K091956,A1205,20
K091956,A24,26
K091956,A040101,4
K091956,A040507,6
K091956,A051201,4
K091956,A0103,2
K091956,A051204,2
K091956,A26,10
K091956,E2401,10
K091956,F24,10
K091956,,6
K091956,A050701,2
K091956,A2101,2
K121393,A051201,6
K121393,A040101,1
K083782,A040101,1
K113550,A040101,4
K113550,A051207,4
K933785,A150206,5
K933785,A24,37
K933785,,15
K933785,A051207,10
K933785,A0104,5
K933785,A26,6
K933785,E2401,6
K933785,F24,6
K023211,,5
K080108,A0411,1
K041584,A010402,2
K983365,A040103,1
K070984,,3
K070984,A090807,5
K070984,A0907,5
K070984,A090808,4
K070984,A08,1
K070984,A090201,6
K070984,A0708,1
K070236,A051201,2
K070236,A26,2
K070236,E2401,2
K070236,F24,2
K022536,,8
K935958,,2
K935958,A0404,1
K130867,A1601,6
K130867,A0404,2
K130867,,6
K130867,A1007,2
K130867,A0402,2
K102588,A1502,1
K102588,A020602,2
K102588,A191003,1
K102588,A26,15
K102588,E2401,15
K102588,F24,15
K102588,A24,21
K102588,A0401,9
K102588,A090201,1
K102588,A020102,5
K102588,A25,5
K102588,A020503,2
K102588,A27,2
K102588,F28,2
K102588,A150205,3
K102588,,9
K102588,A1406,1
K102588,A150207,1
K102588,A0405,2
K102588,A10,1
K102588,A2303,1
K102588,A040101,1
K031161,A150208,4
K031161,,4
K031161,A0401,8
K031161,A090208,2
K031161,A07,2
K031161,A0507,2
K031161,A150207,2
K113213,A13,1
K113213,,23
K113213,A0201,1
K113213,A040506,1
K113213,A090201,5
K113213,A24,2
K113213,A0401,30
K113213,A090801,2
K113213,A26,6
K113213,E2401,6
K113213,F24,6
K113213,A150207,5
K113213,A072001,3
K113213,A150208,3
K113213,A0712,1
K113213,A051204,1
K113213,A1901,1
K113213,A0404,1
K113213,A1502,4
K113213,A1401,1
K113213,A2303,1
K113213,A05,3
K113213,A1801,1
K113213,A150202,1
K113213,A051101,1
K113213,A090204,1
K113213,A0413,1
K113213,A1205,1
K113213,A090202,1
K002333,A090201,4
K002333,,8
K002333,A180104,2
K002333,A0401,10
K002333,A27,2
K002333,F28,2
K002333,A150208,6
K002333,A170101,8
K002333,A26,4
K002333,E2401,4
K002333,F24,4
K002333,A1301,4
K002333,A070908,2
K002333,A051101,2
K002333,A090206,2
K122462,A0401,1
K122462,A2303,1
K122462,,2
K122462,A0406,1
K070266,A24,1
K032676,A020701,15
K032676,,183
K032676,A0504,95
K032676,A051204,5
K032676,A0401,15
K032676,A1406,18
K032676,A26,10
K032676,E2401,10
K032676,F24,10
K032676,A1701,10
K032676,A0404,15
K032676,A1901,6
K032676,A1205,5
K032676,A0201,5
K032676,A040609,5
K032676,A04,5
K923945,A0401,1
K091697,A0401,6
K091697,A020102,5
K091697,A07,1
K091697,,2
K091697,A051104,2
K931962,,24
K931962,A0401,2
K931962,A0501,2
K931962,A051201,1
K092684,A2303,10
K092684,A1803,9
K092684,,7
K092684,A040103,7
K092684,A0401,14
K092684,A040605,1
K092684,A04,1
K092684,A0507,1
K092684,A0411,1
K122461,A0401,1
K122461,A180104,7
K122461,A150201,2
K122461,A24,4
K122461,,6
K122461,A150207,1
K122461,A150208,1
K122461,A180303,1
K122461,A18,1
K122461,A0501,1
K892265,A040609,1
K892265,A0909,1
K892265,A26,5
K892265,E2401,5
K892265,F24,5
K892265,,6
K892265,A24,3
K892265,A2303,2
K892265,A051205,1
K892265,A1401,1
K892265,A072001,1
K892265,A150205,1
K090898,A26,2
K090898,E2401,2
K090898,F24,2
K090898,A24,1
K130602,A150208,1
K130602,,1
K130602,A0401,3
K142907,A27,2
K142907,F28,2
K912492,,49
K912492,A0401,15
K912492,A05,3
K912492,A150102,4
K912492,A050501,1
K912492,A0501,1
K912492,A26,1
K912492,E2401,1
K912492,F24,1
K912492,A070803,2
K912492,A180104,1
K912492,A150104,6
K912492,A0408,1
K912492,A0406,3
K912492,A071801,1
K912492,A0203,1
K133272,,1
K122436,A0203,15
K060096,A040103,59
K060096,A0401,45
K060096,,18
K060096,A0504,2
K060096,A040101,5
K060096,A24,2
K060096,A020602,1
K060096,A040610,2
K060096,A0404,1
K060096,A0411,1
K060096,A2101,1
K060096,A0406,1
K060096,A0413,2
K060096,A180104,1
K060096,A26,1
K060096,E2401,1
K060096,F24,1
K162059,A2303,1
K925079,A0401,12
K925079,A150207,2
K925079,,2
K102839,A2303,1
K102839,A150207,1
K102839,,1
K102839,A0401,1
K102839,A0411,1
K090902,A180104,1
K090902,A0401,1
K030512,,10
K030512,A0402,1
K030512,A051104,4
K030512,A0504,2
K030512,A0401,1
K030512,A140801,2
K030512,A0510,1
K030512,A14,1
K030512,A140507,3
K030512,A1405,1
K030512,A1403,1
K060051,A0401,9
K060051,A040103,4
K962173,A0504,2
K962173,,6
K962173,A1406,2
K962173,A0402,1
K962173,A141103,1
K962173,A1208,1
K962173,A0406,1
K962173,A1401,4
K122531,A150208,1
K122531,A1401,3
K122531,A140509,1
K122531,,2
K122531,A0401,1
K122531,A1405,1
K122531,A010103,1
K092789,A1009,4
K092789,,9
K092789,A23,1
K092789,A0401,2
K092789,A07,1
K092789,A040610,1
K072674,A0401,17
K072674,,6
K072674,A040103,5
K072674,A051201,1
K072674,A0510,2
K072674,A26,1
